"athlete_id","player_name","team","position","headshot_url"
"5096646","Keaton Renfro","Missouri State","S","https://a.espncdn.com/i/headshots/college-football/players/full/5096646.png"
"5096665","Joshua Tracey","New Haven","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5096665.png"
"5096677","Kaschin Edwards","New Haven","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5096677.png"
"5096720","Randy de la Cruz","Central Connecticut","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5096720.png"
"5096762","Johnny Jones","South Carolina State",NA,"https://a.espncdn.com/i/headshots/college-football/players/full/5096762.png"
"5096768","D.J. Roberts","Houston Christian","CB","https://a.espncdn.com/i/headshots/college-football/players/full/5096768.png"
"5096807","Connor Wisham","Prairie View A&M","RB","https://a.espncdn.com/i/headshots/college-football/players/full/5096807.png"
"5096815","DeJuan Lewis","South Dakota","DB","https://a.espncdn.com/i/headshots/college-football/players/full/5096815.png"
"5096826","Efren Jasso","Kansas","P","https://a.espncdn.com/i/headshots/college-football/players/full/5096826.png"
"5096831","Jadrien Collard","Prairie View A&M","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5096831.png"
"5096833","Jalen Cooper","Prairie View A&M","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5096833.png"
"5096834","Dylan Domel","East Texas A&M","TE","https://a.espncdn.com/i/headshots/college-football/players/full/5096834.png"
"5096845","Eli Potts","Tulsa","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5096845.png"
"5096846","Jayce Morgan","Tulsa","RB","https://a.espncdn.com/i/headshots/college-football/players/full/5096846.png"
"5096861","Isaiah Robinson","Incarnate Word","RB","https://a.espncdn.com/i/headshots/college-football/players/full/5096861.png"
"5096863","Kole Wilson","Baylor","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5096863.png"
"5096871","Haden Tessier","Coastal Carolina","P","https://a.espncdn.com/i/headshots/college-football/players/full/5096871.png"
"5096878","Dekalon Taylor","Colorado","RB","https://a.espncdn.com/i/headshots/college-football/players/full/5096878.png"
"5096879","Lloyd Johnson","Incarnate Word","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5096879.png"
"5096880","Tony Sterner","Louisiana","PK","https://a.espncdn.com/i/headshots/college-football/players/full/5096880.png"
"5096881","Luke Schabel","Monmouth","P","https://a.espncdn.com/i/headshots/college-football/players/full/5096881.png"
"5096888","Emeka Obigbo","Texas State","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5096888.png"
"5096889","Donte Thompson","UTEP","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5096889.png"
"5096894","Chase Collyer","Yale","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5096894.png"
"5096895","Nasir Maryland","Merrimack","DB","https://a.espncdn.com/i/headshots/college-football/players/full/5096895.png"
"5096896","Kendal Sims","Merrimack","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5096896.png"
"5096899","Danny Simms","Merrimack","S","https://a.espncdn.com/i/headshots/college-football/players/full/5096899.png"
"5096901","Rajahn Cooper","Merrimack","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5096901.png"
"5096902","Jake Fitzgerald","Sam Houston","LS","https://a.espncdn.com/i/headshots/college-football/players/full/5096902.png"
"5096903","Ty Yocum","Merrimack","TE","https://a.espncdn.com/i/headshots/college-football/players/full/5096903.png"
"5096906","Carlton Thai","Merrimack","PK","https://a.espncdn.com/i/headshots/college-football/players/full/5096906.png"
"5096907","Christian Smith","Rhode Island","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5096907.png"
"5096912","Jack McManus","Miami","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5096912.png"
"5096913","Bryce Ricks","Merrimack","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5096913.png"
"5096932","Jaquez Dew","Alcorn State","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5096932.png"
