"rank","player_name","profile_name","profile_url","profile_state","article_position","article_school","article_state","article_notes","high_school","height","weight","grad_year","sixty_time","max_exit_velocity","max_bat_speed","infield_velocity","outfield_velocity","catcher_velocity","max_hand_speed","commitment","age","bats","throws","travel_team","fastball_velocity","curveball_velocity","slider_velocity","changeup_velocity","fastball_spin_rate","pop_time","scrape_error","home_to_first"
"44","Blake Bryant","Blake Bryant","https://www.prepbaseballreport.com/profiles/GA/Blake-Bryant-2048953617","GA","RHP","Citizens Christian HS (GA)","GA","","Citizens Christian Academy (HS) / GA","6' 3""","182.3","2026","7.17","","","","","","","(10/12/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical TrackMan Pitching Pitching Velos VALD News Comments Contact Best Of Stats Fastball 95 Velocity (max) 7/16/25 90 - 95 Velo Range 7/16/25 2260 Spin Rate (avg) 9/18/25 Changeup 83 - 88 Velo Range 7/16/25 2322 Spin Rate (avg) 9/18/25 Curveball 77 - 80 Velo Range 6/06/24 2508 Spin Rate (avg) 9/18/25 Slider 76 - 83 Velo Range 7/16/25 2517 Spin Rate (avg) 9/18/25 7.17 60-yd 9/18/25 4.09 30-yd 9/18/25 1.93 10-yd 9/18/25 20.1 Run speed (max) 9/18/25 2025 Prep Baseball All-American Game Sep 18, 2025 17U National Championship Jul 16, 2025 National Program Invitational (NPI) Jun 5, 2025 Prep Baseball Showdown May 30, 2025 State Games of Georgia May 24, 2025 Prep Baseball Fall Classic Oct 11, 2024 Upperclass Fall World Series Sep 27, 2024 National Program Invitational (NPI) Jun 6, 2024 State Games of Georgia May 25, 2024 PBR Fall Classic Oct 13, 2023 Upperclass Fall World Series Sep 29, 2023 PBR Cup Sep 15, 2023 PBR Fall Open Sep 8, 2023 16U National Championship Jun 22, 2023 South Carolina Summer Championships Jun 8, 2023 PBR Showdown at LakePoint Jun 1, 2023 State Games of Georgia May 27, 2023 Underclass Fall World Series Oct 7, 2022","18yr 8mo","R","R","Carolina Prime","96","77-80","76-83","83-88","2366","","",""
"45","Jensen Hirschkorn","Jensen Hirschkorn","https://www.prepbaseballreport.com/profiles/CA/Jensen-Hirschkorn-6279135480-6738025149","CA","RHP","Kingsburg HS (CA)","CA","","Kingsburg (HS) / CA","6' 7""","205","2026","","","","","","","","(10/31/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot TrackMan Pitching Pitching Velos News Comments Contact Best Of Stats Fastball 92 Velocity (max) 7/24/24 87 - 91 Velo Range 7/25/24 1896 Spin Rate (avg) 7/24/24 Changeup 78 - 79 Velo Range 7/24/24 1723 Spin Rate (avg) 7/24/24 Curveball 74 - 77 Velo Range 7/25/24 1816 Spin Rate (avg) 7/24/24 Future Games (Class of 2026/27) Jul 24, 2024 ACG Underclass Tryout (NorCal) Jun 13, 2023","18yr 5mo","L","R","NorCalU","92","74-77","","79-79","2128","","",""
"46","Archer Horn","Archer Horn","https://www.prepbaseballreport.com/profiles/CA/Archer-Horn-4019528673-6409832175","CA","SS","St. Ignatius HS (CA)","CA","","St. Ignatius Prep (HS) / CA","6' 2""","195","2026","","","","","","","","(8/15/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe News Comments Contact Best Of Stats California Summer Championships Jul 20, 2023 Arizona Summer Championships Jul 6, 2023","18yr 3mo","L","R","Alpha Prime","","","","","","","",""
"47","Joseph Contreras","Joseph Contreras","https://www.prepbaseballreport.com/profiles/GA/Joseph--Contreras-0358267941","GA","RHP","Blessed Trinity HS (GA)","GA","","Blessed Trinity Catholic (HS) / GA","6' 4""","200","2026","","","","","","","","","","","","Prostock","98","68-71","87-90","82-83","","","",""
"48","Zion Rose","Zion Rose","https://www.prepbaseballreport.com/profiles/FL/Zion-Rose-5092814736","FL","OF","Louisville","","","Louisville","6' 1""","205","2023","7.11","100.4","","3","73","3","","Louisville (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","20yr 11mo","R","R","Chitown cream","78","62 - 65","","57 - 61","","3","",""
"49","Will Gasparino","Will Gasparino","https://www.prepbaseballreport.com/profiles/CA/Will-Gasparino-3691072458","CA","OF","UCLA","","","UCLA","6' 5""","210","2023","6.77","94.9","79.3","83","83","","27.0","UCLA (6/07/25) Texas (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 5mo","R","R","Legacy / Louisiana Knights","84","66-69","","71-74","","","",""
"50","Aiden Robbins","Aiden Robbins","https://www.prepbaseballreport.com/profiles/PA/Aiden-Robbins-4951382607","PA","OF","Texas","","","Texas","6' 1""","205","2023","6.88","98","70.6","86","86","","21.4","Texas (6/05/25) (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 4mo","R","R","Adrenaline","","","","","","202","",""
"51","Joey Volchko","Joey Volchko","https://www.prepbaseballreport.com/profiles/CA/Joey-Volchko-1420973856-7519068324","CA","RHP","Georgia","","","Redwood (HS) / CA","6' 4""","215","2023","","","","","","","","(6/14/25) (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot TrackMan Pitching Pitching Velos News Comments Contact Best Of Stats Fastball 92 Velocity (max) 9/25/22 90 - 92 Velo Range 9/25/22 - Spin Rate (avg) Changeup 78 - 79 Velo Range 6/15/21 - Spin Rate (avg) Curveball 79 - 81 Velo Range 9/25/22 - Spin Rate (avg) Slider 82 - 84 Velo Range 9/25/22 - Spin Rate (avg) 2022 NorCal ProCase (INVITE ONLY) Jun 5, 2022 scout ball Oct 24, 2021","20yr 11mo","R","R","CBA Marlins","93.5","79-81","82-84","78-79","2473","","",""
"52","Teagen Kuhns","","","","RHP","Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","No profile URL resolved.",""
"53","Jason DeCaro","Jason DeCaro","https://www.prepbaseballreport.com/profiles/NY/Jason-DeCaro-1639048752","NY","RHP","North Carolina","","","North Carolina","6' 5""","225","2023","7.48","96.9","77.0","89","","","23.4","North Carolina (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","20yr 1mo","R","R","Team Francisco Notorious 9","93","73-74","78-80","82-84","2414","202","",""
